,PVMATH,PVREAD,PVSCIE,PVMCCR,PVMCQN,PVMCSS,PVMCUD,PVMPEM,PVMPFS,PVMPIN,PVMPRE,,,PVMATH,,PVREAD,PVSCIE,PVMCCR,PVMCQN,PVMCSS,PVMCUD,PVMPEM,PVMPFS,PVMPIN,PVMPRE
0,575.0784,546.3877,532.93,567.4887,582.4041,555.0647,556.9153,556.9614,555.5655,571.3713,614.5495,,中位值,540.1733,四分之一,436.2626,459.2957,454.3835,452.5148,463.3273,450.7775,455.4383,455.6665,451.5048,455.2714
1,551.3653,560.4321,506.2942,536.8495,578.2138,576.7185,555.7239,621.5013,551.9805,589.7321,569.0942,,,,二分之一,511.5876,532.955,540.5954,539.8708,540.3168,537.886,542.7666,539.9442,540.0154,537.9642
2,726.4168,650.7925,646.2069,678.8159,733.7847,720.6881,703.0225,745.3378,699.362,707.6447,723.1284,,,,四分之三,576.5649,598.3835,618.4558,616.436,617.3026,617.3739,620.1205,619.4999,618.3516,611.3018
3,399.9596,453.1688,367.5244,378.9017,407.0545,474.6111,418.6725,399.5022,397.9351,405.7414,438.2599,,,,,,,,,,,,,,
4,576.2661,551.8421,509.8032,580.6639,596.6756,585.2936,583.2789,571.0235,566.2138,595.1984,553.8403,,,,,,,,,,,,,,
5,608.1776,605.3063,610.2458,603.3058,609.3997,582.2713,662.0713,656.6307,609.0347,647.2927,607.1729,,,,,,,,,,,,,,
6,451.4493,411.5755,438.9433,433.6282,478.4583,441.5071,444.1095,455.7046,440.3744,443.8685,433.954,,,,,,,,,,,,,,
7,624.5964,559.1656,584.0232,608.556,614.2393,608.2736,649.5912,619.7379,641.903,600.091,610.4832,,,,,,,,,,,,,,
8,568.1496,509.3986,600.8048,515.0866,563.6791,584.6163,582.9194,556.8587,547.2996,527.5751,561.8652,,,,,,,,,,,,,,
9,440.4593,467.2083,451.3303,447.889,416.6897,446.0996,457.7686,445.1364,444.586,416.7779,442.1566,,,,,,,,,,,,,,
10,520.6904,485.2943,479.3488,469.4276,471.7572,526.7493,482.8049,491.296,530.9707,519.8724,557.9155,,,,,,,,,,,,,,
11,397.4593,416.4489,440.7331,391.0225,368.3402,423.8305,373.0585,374.446,358.7446,363.2233,379.5575,,,,,,,,,,,,,,
12,621.9118,557.3018,565.7378,603.93,593.3156,618.8673,612.1393,600.4885,617.3695,577.9878,617.8532,,,,,,,,,,,,,,
13,343.445,337.5493,356.609,329.4785,307.7792,357.047,327.1381,303.9752,327.4289,344.5982,356.5202,,,,,,,,,,,,,,
14,542.494,507.5081,556.3383,550.244,563.5968,554.2743,553.4235,544.7099,540.4714,562.6086,531.5488,,,,,,,,,,,,,,
15,728.604,654.2125,654.4793,772.8197,752.7045,695.9404,756.1723,755.5905,719.4904,726.2108,705.5884,,,,,,,,,,,,,,
16,608.5571,587.1482,579.4359,632.9576,631.8146,619.6943,601.647,650.1432,615.2437,616.4055,611.1356,,,,,,,,,,,,,,
17,396.8261,447.3986,401.3216,403.1857,419.3542,376.1809,367.1165,426.9064,400.9695,415.7113,380.1508,,,,,,,,,,,,,,
18,667.0232,571.6964,628.911,675.0712,652.2184,646.8279,642.4859,684.7173,684.3911,726.8511,676.6866,,,,,,,,,,,,,,
19,642.6966,652.3917,621.4787,635.505,657.7445,679.8986,585.0118,663.4123,636.9922,595.66,629.0341,,,,,,,,,,,,,,
20,432.86,425.0856,474.4414,448.8416,415.9157,470.5778,439.3598,425.877,451.5583,452.453,455.6606,,,,,,,,,,,,,,
21,555.5911,549.0114,529.4167,542.882,560.4096,586.7508,546.5935,553.4516,562.9295,562.1245,557.1533,,,,,,,,,,,,,,
22,563.0113,534.6,512.9372,560.016,591.8723,538.6184,571.7278,579.4829,519.2994,555.3072,580.4495,,,,,,,,,,,,,,
23,331.8936,259.302,300.8889,313.4154,302.2846,365.4466,321.0235,315.0086,307.1034,334.1445,328.8666,,,,,,,,,,,,,,
24,508.1638,455.5277,551.7768,534.9337,506.477,560.2987,474.277,508.7218,507.1922,517.609,558.4922,,,,,,,,,,,,,,
25,451.699,420.7017,443.3183,428.5306,430.5257,457.7943,464.3369,422.9907,462.3217,417.2991,478.7694,,,,,,,,,,,,,,
26,720.7106,636.4382,650.5128,738.0688,699.4171,746.0886,673.9313,710.2568,713.5785,757.2118,714.6142,,,,,,,,,,,,,,
27,587.4736,574.0746,543.0122,576.4499,571.0766,631.3681,555.8964,622.7425,595.2327,593.8409,602.2268,,,,,,,,,,,,,,
28,426.3337,386.1331,381.8831,401.3919,410.0092,448.0872,467.7779,426.5341,464.7688,425.66,415.5456,,,,,,,,,,,,,,
29,638.0711,630.501,579.8152,688.3781,669.4841,652.9011,617.5719,668.6205,651.083,607.9076,619.625,,,,,,,,,,,,,,
30,444.9254,435.2662,451.2142,465.1123,436.5012,444.8946,440.9491,447.4269,451.5053,414.3618,423.3808,,,,,,,,,,,,,,
31,465.4694,424.6171,437.979,427.5642,474.1587,506.1089,472.9173,484.5229,443.4497,491.3146,493.9105,,,,,,,,,,,,,,
32,594.6473,528.4188,558.5009,599.9496,579.1149,571.7847,593.2258,584.9373,596.4651,577.7038,586.3196,,,,,,,,,,,,,,
33,603.3382,554.6727,646.3211,631.1152,579.2021,594.698,651.3398,576.6695,616.4044,626.6979,617.4224,,,,,,,,,,,,,,
34,320.883,324.7719,341.4982,325.0257,333.243,305.075,336.1368,342.5289,334.3736,342.6607,313.4742,,,,,,,,,,,,,,
35,504.2226,447.4529,519.7465,479.6326,497.6186,504.0434,527.1015,535.4511,535.9726,490.6465,523.6903,,,,,,,,,,,,,,
36,629.8794,558.086,598.8243,647.1493,675.5431,604.826,654.5228,674.3743,710.3302,662.5177,611.3018,,,,,,,,,,,,,,
37,351.1616,365.2211,334.6164,344.7368,329.2735,370.5543,336.9673,347.141,359.2141,365.0909,401.3033,,,,,,,,,,,,,,
38,687.1816,686.1702,615.3789,729.4488,693.7126,652.5732,645.0202,665.7663,699.546,730.4802,662.3803,,,,,,,,,,,,,,
39,507.0817,463.3009,502.2852,530.9656,510.1974,525.131,494.5739,517.7773,527.0584,504.0175,467.002,,,,,,,,,,,,,,
40,496.0173,457.7946,487.3573,522.0923,489.9233,522.9844,470.8516,482.8192,481.7992,428.0473,505.7131,,,,,,,,,,,,,,
41,617.9073,592.1238,579.2045,601.6747,650.3691,620.9274,615.648,609.5041,635.7163,579.8077,610.2143,,,,,,,,,,,,,,
42,659.7332,599.03,636.0422,598.4892,637.6063,675.3727,641.891,671.2938,635.2251,658.3131,636.0395,,,,,,,,,,,,,,
43,564.2579,510.3507,570.1957,559.1784,554.1111,573.3365,593.986,592.462,562.0875,619.859,560.7165,,,,,,,,,,,,,,
44,620.0818,598.2318,631.8001,603.5825,632.0931,592.9796,674.3109,613.1757,603.5834,631.6839,611.2387,,,,,,,,,,,,,,
45,605.2673,482.3881,589.4025,582.3275,597.5759,649.0081,548.3402,587.9048,597.3639,586.3064,610.5344,,,,,,,,,,,,,,
46,497.2644,517.2785,521.1177,503.2191,494.5391,546.4532,508.8341,497.4889,444.6844,502.2227,493.4704,,,,,,,,,,,,,,
47,412.3392,363.1607,419.6816,447.0656,427.3719,431.0795,423.403,411.1203,408.3227,405.1142,409.5743,,,,,,,,,,,,,,
48,623.1062,554.8925,619.432,621.0125,623.8849,620.7997,599.81,645.5139,692.3035,660.0836,569.4661,,,,,,,,,,,,,,
49,356.0619,352.7924,387.9573,343.6466,378.1004,350.066,365.7935,328.96,386.4335,385.4175,390.4979,,,,,,,,,,,,,,
50,400.9931,453.5944,516.2254,430.9549,371.3822,408.3967,382.7704,412.4841,407.8935,415.6001,414.927,,,,,,,,,,,,,,
51,574.5628,541.9839,542.7839,565.683,583.0648,578.6538,525.5202,564.9399,570.9803,525.2171,585.918,,,,,,,,,,,,,,
52,641.8624,608.7884,588.0756,686.0783,636.6514,607.2375,677.3574,638.3387,652.086,662.9387,594.7383,,,,,,,,,,,,,,
53,593.3326,588.4498,616.6917,605.6527,585.2005,605.8142,620.8414,608.0701,616.6049,582.5708,631.5097,,,,,,,,,,,,,,
54,562.8968,558.3531,566.5498,565.0001,598.7014,536.8433,577.7971,587.5963,559.2878,564.6759,558.4575,,,,,,,,,,,,,,
55,534.9253,556.5831,601.1486,532.4423,500.8543,531.1107,489.3183,524.5648,552.8943,514.0743,525.7649,,,,,,,,,,,,,,
56,683.4648,596.0758,654.3861,685.5511,676.4882,679.6306,677.4084,661.4097,667.2556,661.6217,644.89,,,,,,,,,,,,,,
57,448.4919,333.1653,384.5599,452.016,417.4964,458.6757,448.9296,430.9032,421.9008,481.0815,516.9912,,,,,,,,,,,,,,
58,736.6654,653.7963,655.5828,788.9968,707.9841,741.8026,718.9626,779.4014,783.2801,765.4454,732.3782,,,,,,,,,,,,,,
59,443.2797,396.9176,391.9084,490.2169,458.3176,430.6796,439.9253,451.2322,431.5416,443.5422,440.3697,,,,,,,,,,,,,,
60,486.3328,499.785,508.0994,443.5755,475.2404,537.478,526.5757,512.2874,518.5509,536.1754,493.6143,,,,,,,,,,,,,,
61,542.1871,533.3402,524.3536,546.657,505.1721,545.9487,582.7493,537.2726,550.2809,553.4022,519.8652,,,,,,,,,,,,,,
62,597.4979,520.3595,575.0908,599.7074,604.6953,635.3058,631.6458,624.0387,608.2457,609.1984,609.4423,,,,,,,,,,,,,,
63,653.9527,590.0464,590.6405,665.3026,693.3013,684.0379,677.8983,668.3043,634.493,676.4316,689.1531,,,,,,,,,,,,,,
64,622.097,505.0502,569.8959,631.356,624.9661,631.3964,604.9442,673.9828,642.2909,618.9547,626.528,,,,,,,,,,,,,,
65,694.9757,651.7226,651.7251,718.177,662.8922,704.7987,720.7098,717.1744,687.9314,702.084,715.7185,,,,,,,,,,,,,,
66,448.184,492.9613,504.2263,432.0148,460.9253,476.0387,457.506,448.4732,445.9308,476.9849,484.7082,,,,,,,,,,,,,,
67,433.2526,394.0575,454.6177,429.2274,444.695,475.471,448.252,451.01,445.614,426.901,453.8771,,,,,,,,,,,,,,
68,595.7107,543.1949,559.8465,584.3404,619.3452,560.138,565.9368,597.6948,600.85,558.8492,606.4704,,,,,,,,,,,,,,
69,589.7096,559.3048,569.1438,586.1049,575.6649,578.1671,588.3721,589.8721,636.317,594.9041,576.5608,,,,,,,,,,,,,,
70,473.803,548.478,531.3614,472.3933,482.6046,465.0171,463.1047,488.5234,464.0035,458.2108,515.2557,,,,,,,,,,,,,,
71,443.0162,382.812,416.2099,431.1046,458.1206,416.913,440.974,438.7963,441.2447,430.9233,443.4536,,,,,,,,,,,,,,
72,497.8177,484.3137,476.2805,483.6886,465.4927,530.5954,522.1513,487.6004,507.2578,482.5699,479.6445,,,,,,,,,,,,,,
73,508.5949,502.0356,495.8758,509.6951,529.592,534.1667,477.9658,521.5621,478.3668,491.0682,526.6819,,,,,,,,,,,,,,
74,593.444,516.0277,548.4291,616.8692,625.1625,553.7764,605.3023,606.7563,585.3469,603.823,557.1005,,,,,,,,,,,,,,
75,694.361,619.9166,629.2329,760.0254,701.902,702.4921,671.5527,689.6672,691.4799,686.9207,675.2768,,,,,,,,,,,,,,
76,712.0408,619.3392,649.1602,726.3469,701.661,710.828,692.4241,716.0726,710.1088,697.7795,688.863,,,,,,,,,,,,,,
77,376.9399,343.5947,323.7134,385.3625,379.494,403.1975,379.6071,352.501,382.0738,376.0748,381.9499,,,,,,,,,,,,,,
78,599.608,508.4638,563.9105,608.5605,626.8822,547.8045,587.1266,595.7704,599.5248,584.6514,572.3216,,,,,,,,,,,,,,
79,492.9463,489.7381,503.8072,510.1415,501.6118,489.376,504.9399,506.6728,511.4615,484.4933,494.1368,,,,,,,,,,,,,,
80,585.1878,528.3017,556.4524,592.3145,592.3308,583.1473,528.3766,612.3905,620.4949,563.3106,561.32,,,,,,,,,,,,,,
81,555.4055,545.1407,538.2582,557.1533,534.1086,539.5781,531.4437,526.7571,541.9677,552.465,551.9514,,,,,,,,,,,,,,
82,656.2662,623.194,612.4489,662.2592,649.364,681.6946,666.7426,651.6071,655.7383,649.4326,663.8759,,,,,,,,,,,,,,
83,575.1306,565.9004,620.0271,588.3219,600.0102,577.312,576.9137,640.4633,578.7948,609.3531,538.5631,,,,,,,,,,,,,,
84,529.3372,464.6731,517.5635,518.6974,550.3255,550.3926,535.2573,496.7559,554.0072,533.419,504.9633,,,,,,,,,,,,,,
85,557.3772,593.7603,572.4047,570.0078,551.2852,547.2123,548.9656,596.7534,586.3548,640.1888,548.5711,,,,,,,,,,,,,,
86,440.8834,410.7532,491.5303,440.719,449.8763,464.7575,432.4892,394.7742,410.6755,471.0179,414.6944,,,,,,,,,,,,,,
87,680.5865,597.7856,687.3374,726.6426,663.8596,659.7903,717.8642,691.5659,653.9062,696.3443,696.2092,,,,,,,,,,,,,,
88,416.0136,437.3735,461.0248,386.7502,357.4355,473.2905,385.1863,384.9123,431.8217,394.5996,381.0675,,,,,,,,,,,,,,
89,687.8021,595.1126,621.9041,731.8464,696.5739,683.9516,641.0448,724.0607,733.2497,729.1493,678.5737,,,,,,,,,,,,,,
90,723.0582,586.2979,686.9853,747.7594,730.4141,746.3703,710.2093,746.3406,722.4956,741.4034,721.1885,,,,,,,,,,,,,,
91,493.1281,457.5882,536.6559,533.1618,512.8113,516.7195,513.2582,508.8414,504.785,522.3369,496.4307,,,,,,,,,,,,,,
92,528.2494,445.3821,482.7687,506.3062,508.6057,558.8928,503.1352,504.8852,511.2856,496.3789,534.6866,,,,,,,,,,,,,,
93,617.5568,580.2034,599.3667,633.7167,623.8613,598.4762,686.0354,634.4231,638.0026,711.8296,623.9942,,,,,,,,,,,,,,
94,460.702,351.2828,414.5311,466.8005,495.0022,456.1434,456.3162,466.2475,476.7932,471.4119,436.1557,,,,,,,,,,,,,,
95,462.8264,497.7415,490.4821,458.4104,453.0314,476.2613,470.3806,455.2085,462.8796,451.8393,456.5892,,,,,,,,,,,,,,
96,659.7315,519.9155,580.0783,644.4713,644.0152,669.3957,668.585,644.2391,670.8367,676.5197,659.3236,,,,,,,,,,,,,,
97,485.0156,518.1002,509.4948,505.7934,470.2462,500.1334,482.1733,497.5445,490.5843,455.0928,489.4465,,,,,,,,,,,,,,
98,614.3098,613.7177,581.5054,609.1677,633.4502,602.1404,644.954,611.379,624.2429,611.065,587.2214,,,,,,,,,,,,,,
99,529.9014,516.4018,578.8254,532.531,535.6818,540.2582,537.822,533.1667,523.4261,577.1372,505.3522,,,,,,,,,,,,,,
100,532.2853,534.498,558.0404,501.6002,551.2379,538.7875,544.8005,552.2212,578.0651,535.7596,551.1852,,,,,,,,,,,,,,
101,598.97,599.2257,619.4391,572.4157,602.8712,600.3588,545.5126,626.4512,615.0453,640.0409,579.5881,,,,,,,,,,,,,,
102,322.2965,350.1733,332.0518,336.0716,317.8264,329.1894,333.902,322.5743,299.8762,309.2998,294.5144,,,,,,,,,,,,,,
103,447.636,489.961,520.2212,450.5994,447.0526,472.3345,475.4427,438.6367,477.3609,481.04,479.1631,,,,,,,,,,,,,,
104,530.6226,435.8772,499.4211,489.4606,532.6782,547.8713,530.5178,574.8083,554.9736,525.7787,539.0404,,,,,,,,,,,,,,
105,506.0764,497.2894,524.4899,463.5145,520.48,558.1715,510.2239,517.1097,453.8615,507.6601,533.1702,,,,,,,,,,,,,,
106,586.1384,567.5968,550.4186,560.2261,593.7036,560.4451,578.8372,590.3318,597.9017,632.9285,532.6534,,,,,,,,,,,,,,
107,510.724,556.7912,544.254,512.2382,497.5569,514.7341,511.1117,508.0679,512.6848,490.7848,564.7109,,,,,,,,,,,,,,
108,482.4398,539.4577,548.4382,495.4607,486.5781,448.4796,516.8719,489.7678,510.8039,511.9016,471.6544,,,,,,,,,,,,,,
109,380.9772,368.5751,301.6425,374.553,392.0786,406.1409,373.4212,420.7202,429.5588,351.4129,381.8971,,,,,,,,,,,,,,
110,575.156,573.6962,592.2158,598.2092,587.6812,558.3727,586.1523,589.58,544.4378,563.3695,585.644,,,,,,,,,,,,,,
111,636.2799,660.606,612.1761,654.0103,611.658,610.0209,664.2574,661.9072,639.3936,663.6668,610.3845,,,,,,,,,,,,,,
112,382.2028,468.7597,399.9084,382.2003,368.7786,413.8272,392.9001,411.7087,397.3129,389.0256,360.824,,,,,,,,,,,,,,
113,588.6105,511.3456,535.2642,584.4245,565.1743,581.8427,603.4832,562.6279,619.9149,601.2611,571.6269,,,,,,,,,,,,,,
114,441.5391,433.3631,415.9392,464.9539,430.1685,434.3467,461.4431,450.6804,424.9181,503.6465,447.9991,,,,,,,,,,,,,,
115,568.3229,544.0019,553.1107,557.6092,559.6534,531.7454,574.3126,588.1781,539.7856,535.8891,554.2486,,,,,,,,,,,,,,
116,320.8465,327.5199,327.4409,349.1028,305.4378,309.8571,336.0889,287.447,313.3912,314.1409,315.1625,,,,,,,,,,,,,,
117,585.8052,464.1151,569.5165,560.5542,571.0522,603.5791,554.5257,570.5069,571.1924,593.2377,605.3464,,,,,,,,,,,,,,
118,563.0343,536.305,573.2607,546.001,556.9793,559.7844,577.3754,583.7706,550.7557,564.6649,549.0291,,,,,,,,,,,,,,
119,686.3472,614.8227,639.8481,682.746,723.6943,659.2129,677.9702,723.7548,718.0242,718.7994,656.2292,,,,,,,,,,,,,,
120,645.4739,539.5155,532.1181,651.9127,631.0109,675.7779,620.1232,649.6858,655.4766,624.4043,648.2549,,,,,,,,,,,,,,
121,377.7613,413.7887,416.6602,374.5915,391.1722,397.741,358.7681,398.883,376.9842,355.9618,379.4475,,,,,,,,,,,,,,
122,453.3368,508.9451,438.9595,468.6957,425.8946,433.4248,448.7618,451.195,465.8337,516.0277,473.0713,,,,,,,,,,,,,,
123,502.3785,497.01,487.4268,483.0765,520.4002,505.5806,526.3442,531.4011,508.6241,494.2123,516.1367,,,,,,,,,,,,,,
124,544.224,497.2174,520.9885,579.8011,571.8084,531.8914,526.4075,558.11,559.6524,545.9111,517.4968,,,,,,,,,,,,,,
125,482.9824,442.032,477.6168,480.4471,438.1177,466.3331,442.7736,482.3436,460.6342,456.8487,474.0381,,,,,,,,,,,,,,
126,299.212,166.1577,301.6948,282.6086,315.1804,327.5055,266.9705,337.4543,342.066,257.867,378.1286,,,,,,,,,,,,,,
127,460.5558,449.2279,469.9023,449.6777,468.5658,472.7532,486.511,472.9762,431.6312,495.1165,457.1032,,,,,,,,,,,,,,
128,556.219,459.8789,475.7403,547.0712,538.5906,515.7103,534.906,524.0966,533.3244,551.7109,555.9552,,,,,,,,,,,,,,
129,585.8516,557.4242,621.7561,573.7859,570.4581,548.8843,613.2914,590.0326,584.3247,620.853,579.9793,,,,,,,,,,,,,,
130,390.7079,433.8383,433.8317,360.3511,346.17,440.3929,417.0463,359.2208,366.2194,414.2334,415.5781,,,,,,,,,,,,,,
131,438.1501,522.9702,524.28,444.6145,433.8445,493.5356,457.2846,411.7308,463.5229,416.2636,443.8328,,,,,,,,,,,,,,
132,581.6845,591.7269,567.2207,612.2872,578.1862,602.0548,601.241,590.8737,577.3645,624.0538,595.2688,,,,,,,,,,,,,,
133,455.9534,420.9873,369.2407,441.7497,488.17,474.0289,413.0513,462.7494,453.8863,438.6907,459.1316,,,,,,,,,,,,,,
134,740.4521,622.2428,639.3593,775.414,720.6137,751.4978,723.9283,748.9351,739.283,749.4373,771.9495,,,,,,,,,,,,,,
135,365.5685,338.249,379.7281,352.422,337.4022,410.0302,401.6353,358.8098,349.831,373.6745,380.0644,,,,,,,,,,,,,,
136,430.2851,392.6421,421.7325,413.9556,409.2538,442.5546,413.9347,393.5673,421.8942,453.935,434.4558,,,,,,,,,,,,,,
137,695.8587,597.3936,647.8478,678.5395,703.8824,633.9579,695.734,706.8551,677.3283,696.2715,680.0497,,,,,,,,,,,,,,
138,491.165,488.9004,521.1212,458.0374,476.4589,507.2271,520.5938,483.3322,499.809,532.5023,506.4214,,,,,,,,,,,,,,
139,536.1886,575.4614,512.1872,529.6709,543.5753,562.9009,529.9256,532.4134,495.16,518.8346,542.362,,,,,,,,,,,,,,
140,400.6842,324.2496,403.4094,396.0344,414.5647,372.5771,388.8245,412.3207,398.8726,398.9092,387.8925,,,,,,,,,,,,,,
141,475.0436,481.6058,438.7848,448.8903,453.789,472.9023,518.8582,498.2113,484.3143,484.1132,443.5751,,,,,,,,,,,,,,
142,416.1461,392.2588,408.7313,371.9368,386.9162,453.3289,413.4402,356.0428,409.9778,377.8277,433.5862,,,,,,,,,,,,,,
143,604.6723,591.6929,579.9203,582.6397,610.004,607.7482,587.69,580.0751,575.6123,648.7551,585.1484,,,,,,,,,,,,,,
144,559.8091,511.3916,541.468,613.4863,580.1523,550.0013,538.8453,535.8118,531.0898,591.4882,600.8914,,,,,,,,,,,,,,
145,617.1457,601.5317,618.7699,611.4499,605.8912,587.6748,612.3976,631.923,646.6344,612.2469,603.585,,,,,,,,,,,,,,
146,633.7196,626.6148,619.4675,649.7907,598.7685,649.2207,620.1624,627.8694,682.6406,653.2401,625.5237,,,,,,,,,,,,,,
147,710.4941,584.6327,647.3062,731.7499,714.7375,729.9806,723.955,687.6029,718.8928,707.451,729.8626,,,,,,,,,,,,,,
148,511.2267,534.0828,582.5524,526.2923,550.411,477.7691,524.9273,520.3015,518.9086,523.2922,539.1753,,,,,,,,,,,,,,
149,561.4791,542.8778,543.239,555.6543,584.6464,531.6848,581.3964,584.6588,575.6387,574.983,530.0142,,,,,,,,,,,,,,
150,558.5734,586.0878,506.5085,542.3385,563.2547,548.3864,582.4521,544.1543,569.5852,610.8606,559.4309,,,,,,,,,,,,,,
151,480.0669,535.9225,505.0088,481.958,492.4938,517.4529,547.6944,500.3672,494.5744,509.8499,495.5895,,,,,,,,,,,,,,
152,612.4788,649.9247,571.5636,639.2652,630.0748,589.4424,576.5444,634.9537,636.655,622.193,601.3734,,,,,,,,,,,,,,
153,713.4346,630.0999,646.2626,685.3377,709.1163,711.3188,716.7038,733.9984,730.4694,667.5214,675.1217,,,,,,,,,,,,,,
154,486.6282,494.4847,518.0403,464.5979,499.1126,490.7553,443.6291,489.0515,468.7247,467.0726,465.881,,,,,,,,,,,,,,
155,611.0157,483.7203,530.4061,617.6613,588.6244,593.0913,596.3201,567.4896,647.9885,619.1928,572.7517,,,,,,,,,,,,,,
156,373.1955,292.4734,369.034,358.2755,382.377,407.9345,371.6857,336.1656,376.8182,351.3124,384.567,,,,,,,,,,,,,,
157,444.3493,382.4917,469.4495,470.0148,425.5549,467.1674,445.9788,456.0008,489.4259,426.4231,447.3463,,,,,,,,,,,,,,
158,608.6475,547.3875,601.446,588.9289,646.0964,564.5715,639.0764,629.9065,635.1757,629.8566,561.1382,,,,,,,,,,,,,,
159,437.416,430.7426,482.8963,475.4829,427.3946,461.845,412.3065,449.4089,455.7767,425.5096,395.648,,,,,,,,,,,,,,
160,432.738,467.8814,440.7014,432.7763,456.2392,491.2843,430.3671,476.8595,460.7093,423.0573,448.5183,,,,,,,,,,,,,,
161,570.9397,539.781,562.34,551.0449,570.2753,573.5118,580.7368,607.9446,563.2469,601.4678,584.9466,,,,,,,,,,,,,,
162,591.9979,446.859,536.7443,541.6819,597.3339,567.0915,543.5923,614.2557,583.3596,573.4903,572.8301,,,,,,,,,,,,,,
