,PVMATH,PVREAD,PVSCIE,PVMCCR,PVMCQN,PVMCSS,PVMCUD,PVMPEM,PVMPFS,PVMPIN,PVMPRE
0,1,3,2,3,3,3,3,3,3,3,4
1,1,3,2,2,3,3,3,4,3,3,3
2,1,4,4,4,4,4,4,4,4,4,4
3,0,2,1,1,1,2,1,1,1,1,1
4,1,3,2,3,3,3,3,3,3,3,3
5,1,4,4,3,3,3,4,4,3,4,3
6,0,1,1,1,2,1,1,2,1,1,1
7,1,3,3,3,3,3,4,3,4,3,3
8,1,2,4,2,3,3,3,3,3,2,3
9,0,2,1,1,1,1,2,1,1,1,1
10,0,2,2,2,2,2,2,2,2,2,3
11,0,1,1,1,1,1,1,1,1,1,1
12,1,3,3,3,3,4,3,3,3,3,4
13,0,1,1,1,1,1,1,1,1,1,1
14,1,2,3,3,3,3,3,3,3,3,2
15,1,4,4,4,4,4,4,4,4,4,4
16,1,4,3,4,4,4,3,4,3,3,3
17,0,2,1,1,1,1,1,1,1,1,1
18,1,3,4,4,4,4,4,4,4,4,4
19,1,4,4,4,4,4,3,4,4,3,4
20,0,1,2,1,1,2,1,1,1,2,2
21,1,3,2,3,3,3,3,3,3,3,3
22,1,3,2,3,3,2,3,3,2,3,3
23,0,1,1,1,1,1,1,1,1,1,1
24,0,2,3,2,2,3,2,2,2,2,3
25,0,1,1,1,1,1,2,1,2,1,2
26,1,4,4,4,4,4,4,4,4,4,4
27,1,3,3,3,3,4,3,4,3,3,3
28,0,1,1,1,1,1,2,1,2,1,1
29,1,4,3,4,4,4,4,4,4,3,4
30,0,1,1,2,1,1,1,1,1,1,1
31,0,1,1,1,2,2,2,2,1,2,2
32,1,3,3,3,3,3,3,3,3,3,3
33,1,3,4,4,3,3,4,3,3,4,4
34,0,1,1,1,1,1,1,1,1,1,1
35,0,2,2,2,2,2,2,2,2,2,2
36,1,3,4,4,4,3,4,4,4,4,3
37,0,1,1,1,1,1,1,1,1,1,1
38,1,4,4,4,4,4,4,4,4,4,4
39,0,2,2,2,2,2,2,2,2,2,2
40,0,2,2,2,2,2,2,2,2,1,2
41,1,4,3,3,4,4,3,3,4,3,3
42,1,4,4,3,4,4,4,4,4,4,4
43,1,2,3,3,3,3,3,3,3,4,3
44,1,4,4,3,4,3,4,3,3,4,3
45,1,2,3,3,3,4,3,3,3,3,3
46,0,3,2,2,2,3,2,2,1,2,2
47,0,1,1,1,1,1,1,1,1,1,1
48,1,3,4,4,4,4,3,4,4,4,3
49,0,1,1,1,1,1,1,1,1,1,1
50,0,2,2,1,1,1,1,1,1,1,1
51,1,3,3,3,3,3,2,3,3,2,3
52,1,4,3,4,4,3,4,4,4,4,3
53,1,4,4,3,3,3,4,3,3,3,4
54,1,3,3,3,3,2,3,3,3,3,3
55,0,3,4,2,2,2,2,2,3,2,2
56,1,4,4,4,4,4,4,4,4,4,4
57,0,1,1,1,1,1,1,1,1,2,2
58,1,4,4,4,4,4,4,4,4,4,4
59,0,1,1,2,2,1,1,1,1,1,1
60,0,2,2,1,2,2,2,2,2,2,2
61,1,3,2,3,2,3,3,2,3,3,2
62,1,3,3,3,3,4,4,4,3,3,3
63,1,4,3,4,4,4,4,4,4,4,4
64,1,2,3,4,4,4,3,4,4,4,4
65,1,4,4,4,4,4,4,4,4,4,4
66,0,2,2,1,2,2,2,1,1,2,2
67,0,1,1,1,1,2,1,1,1,1,1
68,1,3,3,3,4,3,3,3,3,3,3
69,1,3,3,3,3,3,3,3,4,3,3
70,0,3,2,2,2,2,2,2,2,2,2
71,0,1,1,1,2,1,1,1,1,1,1
72,0,2,2,2,2,2,2,2,2,2,2
73,0,2,2,2,2,2,2,2,2,2,2
74,1,3,3,3,4,3,3,3,3,3,3
75,1,4,4,4,4,4,4,4,4,4,4
76,1,4,4,4,4,4,4,4,4,4,4
77,0,1,1,1,1,1,1,1,1,1,1
78,1,2,3,3,4,3,3,3,3,3,3
79,0,2,2,2,2,2,2,2,2,2,2
80,1,3,3,3,3,3,2,3,4,3,3
81,1,3,3,3,2,2,2,2,3,3,3
82,1,4,4,4,4,4,4,4,4,4,4
83,1,3,4,3,3,3,3,4,3,3,3
84,0,2,2,2,3,3,2,2,3,2,2
85,1,4,3,3,3,3,3,3,3,4,3
86,0,1,2,1,1,2,1,1,1,2,1
87,1,4,4,4,4,4,4,4,4,4,4
88,0,2,2,1,1,2,1,1,1,1,1
89,1,4,4,4,4,4,4,4,4,4,4
90,1,4,4,4,4,4,4,4,4,4,4
91,0,2,3,2,2,2,2,2,2,2,2
92,0,2,2,2,2,3,2,2,2,2,2
93,1,4,4,4,4,3,4,4,4,4,4
94,0,1,1,2,2,1,2,2,2,2,1
95,0,2,2,2,2,2,2,1,2,2,2
96,1,3,3,4,4,4,4,4,4,4,4
97,0,3,2,2,2,2,2,2,2,2,2
98,1,4,3,3,4,3,4,3,4,3,3
99,0,3,3,2,2,2,2,2,2,3,2
100,0,3,3,2,3,2,3,3,3,2,3
101,1,4,4,3,3,3,3,4,3,4,3
102,0,1,1,1,1,1,1,1,1,1,1
103,0,2,2,1,1,2,2,1,2,2,2
104,0,1,2,2,2,3,2,3,3,2,3
105,0,2,2,2,2,3,2,2,1,2,2
106,1,3,3,3,3,3,3,3,3,4,2
107,0,3,3,2,2,2,2,2,2,2,3
108,0,3,3,2,2,1,2,2,2,2,2
109,0,1,1,1,1,1,1,1,1,1,1
110,1,3,3,3,3,3,3,3,3,3,3
111,1,4,4,4,3,3,4,4,4,4,3
112,0,2,1,1,1,1,1,1,1,1,1
113,1,2,3,3,3,3,3,3,4,3,3
114,0,1,1,2,1,1,2,1,1,2,1
115,1,3,3,3,3,2,3,3,2,2,3
116,0,1,1,1,1,1,1,1,1,1,1
117,1,2,3,3,3,3,3,3,3,3,3
