,PVMATH,PVREAD,PVSCIE,PVMCCR,PVMCQN,PVMCSS,PVMCUD,PVMPEM,PVMPFS,PVMPIN,PVMPRE
0,3,3,2,3,3,3,3,3,3,3,4
1,3,3,2,2,3,3,3,4,3,3,3
2,4,4,4,4,4,4,4,4,4,4,4
3,1,2,1,1,1,2,1,1,1,1,1
4,3,3,2,3,3,3,3,3,3,3,3
5,3,4,4,3,3,3,4,4,3,4,3
6,1,1,1,1,2,1,1,2,1,1,1
7,4,3,3,3,3,3,4,3,4,3,3
8,3,2,4,2,3,3,3,3,3,2,3
9,1,2,1,1,1,1,2,1,1,1,1
10,2,2,2,2,2,2,2,2,2,2,3
11,1,1,1,1,1,1,1,1,1,1,1
12,4,3,3,3,3,4,3,3,3,3,4
13,1,1,1,1,1,1,1,1,1,1,1
14,3,2,3,3,3,3,3,3,3,3,2
15,4,4,4,4,4,4,4,4,4,4,4
16,3,4,3,4,4,4,3,4,3,3,3
17,1,2,1,1,1,1,1,1,1,1,1
18,4,3,4,4,4,4,4,4,4,4,4
19,4,4,4,4,4,4,3,4,4,3,4
20,1,1,2,1,1,2,1,1,1,2,2
21,3,3,2,3,3,3,3,3,3,3,3
22,3,3,2,3,3,2,3,3,2,3,3
23,1,1,1,1,1,1,1,1,1,1,1
24,2,2,3,2,2,3,2,2,2,2,3
25,1,1,1,1,1,1,2,1,2,1,2
26,4,4,4,4,4,4,4,4,4,4,4
27,3,3,3,3,3,4,3,4,3,3,3
28,1,1,1,1,1,1,2,1,2,1,1
29,4,4,3,4,4,4,4,4,4,3,4
30,1,1,1,2,1,1,1,1,1,1,1
31,2,1,1,1,2,2,2,2,1,2,2
32,3,3,3,3,3,3,3,3,3,3,3
33,3,3,4,4,3,3,4,3,3,4,4
34,1,1,1,1,1,1,1,1,1,1,1
35,2,2,2,2,2,2,2,2,2,2,2
36,4,3,4,4,4,3,4,4,4,4,4
37,1,1,1,1,1,1,1,1,1,1,1
38,4,4,4,4,4,4,4,4,4,4,4
39,2,2,2,2,2,2,2,2,2,2,2
40,2,2,2,2,2,2,2,2,2,1,2
41,4,4,3,3,4,4,3,3,4,3,3
42,4,4,4,3,4,4,4,4,4,4,4
43,3,2,3,3,3,3,3,3,3,4,3
44,4,4,4,3,4,3,4,3,3,4,3
45,3,2,3,3,3,4,3,3,3,3,3
46,2,3,2,2,2,3,2,2,1,2,2
47,1,1,1,1,1,1,1,1,1,1,1
48,4,3,4,4,4,4,3,4,4,4,3
